,Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
221,COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,272529,0,0,0,826,12192,6895,40588,85867,69783,51164,5214
222,COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,345,15,0,0,0,0,0,19,234,65,10,2
223,"COLUMBIA, TOWN OF",2622,Municipal Owned,LA,330,0,0,0,0,0,330,0,0,0,0,0
224,COLUMBIA UTILITIES COMMISSION,2624,Municipal Owned,KY,1215,1192,0,0,0,0,0,0,0,0,12,11
225,"COLUMBUS, CITY OF",2632,Municipal Owned,TX,1367,0,0,0,0,0,0,0,1299,42,26,0
226,"COMMERCE GAS SYSTEM, CITY OF",2644,Municipal Owned,GA,2579,0,0,0,0,0,0,93,331,1710,392,53
227,NSTAR GAS COMPANY,2652,Investor Owned,MA,208066,0,21759,456,4259,12709,15504,34277,38691,30859,45942,3610
228,COMMUNITY NATURAL GAS INC,2676,Investor Owned,IN,8640,0,0,0,0,375,481,1062,3525,1099,1889,209
229,SOUTH ALABAMA GAS DISTRICT,2688,Municipal Owned,AL,7599,0,0,292,67,2482,1024,1150,1739,252,535,58
230,CONNECTICUT NATURAL GAS CORP,2700,Investor Owned,CT,141385,255,7686,14,3834,13358,17201,19952,23624,25227,28113,2121
231,CONSOLIDATED EDISON CO OF NEW YORK,2704,Investor Owned,NY,377490,0,25600,7155,11582,10347,46672,62129,71012,67052,71787,4154
232,CONSOLIDATED GAS UTILITY DISTRICTS OF GRANT PARISH,2712,Municipal Owned,LA,1497,195,0,0,0,1120,0,0,17,78,79,8
233,CONSUMERS GAS CO,2728,Investor Owned,IL,5763,0,0,0,0,243,1687,1847,972,537,439,38
234,CONSUMERS GAS UTILITY CO,2736,Privately Owned,WV,10419,490,1562,85,490,1677,1021,2656,1216,689,533,0
235,CONSUMERS ENERGY CO,2748,Investor Owned,MI,1595420,16159,3141,11347,121841,234391,269317,193296,286855,213808,222832,22433
236,"COOKEVILLE GAS DEPT, CITY OF",2764,Municipal Owned,TN,10699,0,0,0,899,476,475,1169,3818,2605,1128,129
237,COON RAPIDS MUNICIPAL UTILITIES,2768,Municipal Owned,IA,665,0,0,0,149,51,27,29,91,232,71,15
238,COPAN GAS CO,2776,Municipal Owned,OK,352,352,0,0,0,0,0,0,0,0,0,0
239,"COPPER MARKET, INC",2778,Privately Owned,AZ,993,0,0,0,0,0,678,134,0,170,11,0
240,"CORDELE GAS SYSTEM, CITY OF",2780,Municipal Owned,GA,2625,2136,0,0,0,0,0,300,104,0,71,14
241,"CORDOVA, WATER WORKS & GAS BOARD FO THE CITY OF",2784,Municipal Owned,AL,521,0,0,0,0,0,0,0,0,0,0,521
242,"CORINTH GAS DEPT, CITY OF",2788,Municipal Owned,MS,8688,4249,0,0,0,0,0,408,2654,856,474,47
243,CORN GAS DEPT,2792,Municipal Owned,OK,217,0,0,0,0,135,60,19,0,2,1,0
244,CORNING MUNICIPAL UTILITIES,2796,Municipal Owned,IA,875,0,0,0,0,764,0,0,33,36,42,0
245,CORNING NATURAL GAS CORP,2800,Investor Owned,NY,14189,1514,318,0,238,661,629,1177,1755,2859,4704,334
246,"CORONA GAS SYSTEM, VILLAGE OF",2804,Municipal Owned,NM,146,0,0,0,0,138,0,0,0,7,1,0
247,"CORPUS CHRISTI, CITY OF - GAS DIV",2812,Municipal Owned,TX,61818,43995,0,0,0,0,0,3078,2964,4157,6561,1063
248,COTULLA MUNICIPAL GAS SYSTEM,2824,Municipal Owned,TX,774,0,0,0,0,685,22,13,1,15,38,0
249,"COVINGTON GAS DEPT, CITY OF",2853,Municipal Owned,TN,3574,0,470,394,419,160,718,177,730,273,224,9
250,"COVINGTON GAS DEPT, TOWN OF",2856,Municipal Owned,OK,327,76,0,0,0,0,0,245,0,4,2,0
251,"COVINGTON MUNICIPAL GAS SYSTEM, CITY OF",2860,Municipal Owned,GA,9296,0,0,0,1525,1810,1575,755,805,2337,409,80
252,CRESCENT CITY NATURAL GAS,2872,Municipal Owned,FL,1690,0,0,0,0,945,138,188,186,45,166,22
253,CROCKETT PUBLIC UTIL DIST,2880,Municipal Owned,TN,1322,1085,0,0,0,0,0,0,0,19,218,0
254,"CROSSVILLE GAS SYSTEM, VILLAGE OF",2888,Municipal Owned,IL,451,0,0,0,420,0,23,0,5,1,1,1
255,CULLMAN - JEFFERSON CO GAS DIST,2904,Municipal Owned,AL,15147,6728,0,0,0,0,0,0,4391,2082,1652,294
256,"CUSHING, CITY OF",2915,Municipal Owned,TX,437,0,0,0,372,29,0,29,5,0,2,0
257,"CUTHBERT GAS SYSTEM, CITY OF",2928,Municipal Owned,GA,891,0,0,0,0,348,0,129,137,138,139,0
258,D B H GAS CO,3010,Investor Owned,TX,278,0,0,0,0,181,64,8,4,2,19,0
259,DADEVILLE WATER SUPPPLY & GAS BOARD,3050,Municipal Owned,AL,840,0,0,0,237,0,0,450,0,109,32,12
260,DAHLGREN GAS SYSTEM,3060,Municipal Owned,IL,310,0,0,0,0,225,10,20,20,13,21,1
261,DAISETTA WATER & GAS DEPT,3070,Municipal Owned,TX,254,0,0,0,0,0,0,0,0,0,254,0
262,DALTON WATER LIGHT & SINKING FUND COMMISSION,3090,Municipal Owned,GA,9323,6652,0,1,86,27,6,17,918,572,753,291
263,"DANVILLE, CITY OF",3110,Municipal Owned,VA,16372,4,0,0,1,8,19,394,2837,7086,5907,116
264,"DAPHNE UTILITY DEPT, CITY OF",3130,Municipal Owned,AL,5524,157,0,0,325,116,112,252,797,1924,1552,289
265,"DAWSON GAS DEPT, CITY OF",3160,Municipal Owned,GA,1129,0,0,0,0,2,251,161,238,468,9,0
266,DECATUR UTILITIES - GAS DEPARTMENT,3183,Municipal Owned,AL,14884,0,0,0,0,356,2701,1740,6905,1884,1198,100
267,DECATUR COUNTY INDUSTRIAL AIRPARK,3188,Municipal Owned,GA,27,0,0,0,0,13,0,2,4,4,4,0
268,"DEFUNIAK SPRINGS NATURAL GAS SYSTEM, CITY OF",3190,Municipal Owned,FL,1093,1018,0,0,0,0,0,0,28,0,47,0
269,DEKALB - CHEROKEE COUNTIES GAS DISTRICT,3200,Municipal Owned,AL,10403,0,0,0,1179,1125,323,2056,2905,1899,916,0
270,"DEL RIO GAS SYSTEM, CITY OF",3210,Municipal Owned,TX,8287,0,0,0,0,0,0,0,7944,36,270,37
271,"DELCAMBRE GAS DEPT, TOWN OF",3220,Municipal Owned,LA,336,0,0,0,0,0,0,0,0,335,1,0
272,DELMARVA POWER & LIGHT COMPANY,3240,Investor Owned,DE,131039,1365,247,389,7233,22828,9474,13538,30759,18628,24955,1623
273,DELTA NATURAL GAS CO INC,3260,Privately Owned,KY,40836,8323,0,0,4,331,1283,2774,12309,7554,7232,1026
274,DEMING GAS SYSTEM,3280,Municipal Owned,NM,5875,0,0,0,0,398,0,1363,737,2745,600,32
275,"DENHAM SPRINGS GAS DEPT, CITY OF",3295,Municipal Owned,LA,7498,4472,0,0,0,0,0,0,0,0,2943,83
276,"DENISON GAS SYSTEMS, CITY OF",3297,Municipal Owned,KS,184,0,0,0,0,0,0,0,170,10,4,0
277,DENVER CITY GAS SYSTEM,3310,Municipal Owned,TX,1799,0,0,0,0,0,1053,535,66,45,78,22
278,DEQUINCY GAS DEPARTMENT,3325,Municipal Owned,LA,2009,0,0,0,0,1703,163,0,120,0,0,23
279,DES ARC MUNICIPAL GAS CO,3330,Municipal Owned,AR,705,0,0,0,610,0,13,9,37,19,17,0
280,DEVALLS BLUFF GAS SYSTEM,3339,Municipal Owned,AR,172,0,0,0,0,0,0,159,0,6,7,0
281,"DILLEY GAS SYSTEM, CITY OF",3410,Municipal Owned,TX,313,0,0,0,0,25,10,15,2,14,247,0
282,"DIVERNON GAS DEPT, VILLAGE OF",3420,Municipal Owned,IL,801,0,0,353,95,0,0,203,107,28,14,1
283,"DOERUN, CITY OF",3460,Municipal Owned,GA,343,0,0,0,0,320,0,10,12,0,1,0
284,"DONALDSONVILLE, CITY OF",3470,Municipal Owned,LA,3201,0,1193,0,1985,0,0,0,0,0,14,9
285,"DONALSONVILLE GAS SYSTEM, CITY OF",3480,Municipal Owned,GA,414,0,0,0,0,3,0,403,0,8,0,0
286,"DORA GAS BOARD, TOWN OF",3490,Municipal Owned,AL,805,0,0,0,626,0,0,0,87,56,36,0
287,"DOUGLAS GAS DEPT, CITY OF",3510,Municipal Owned,GA,1657,1300,0,0,0,0,0,0,0,138,216,3
288,DRAKESBORO NATURAL GAS CO,3538,Municipal Owned,KY,769,0,0,0,0,575,0,0,0,194,0,0
289,DRUMRIGHT GAS AUTH,3550,Municipal Owned,OK,1110,0,0,0,0,0,0,0,1110,0,0,0
290,"DUBLIN, CITY OF",3560,Municipal Owned,GA,3957,2799,0,0,0,0,0,0,0,122,981,55
291,"DUCK HILL GAS SYSTEM, TOWN OF",3580,Municipal Owned,MS,865,0,0,0,0,865,0,0,0,0,0,0
292,CITY OF DULUTH PUBLIC WORKS & UTILITIES,3590,Municipal Owned,MN,26912,13,0,0,0,15,5359,11125,4682,2895,2636,187
293,"DUMAS, CITY OF",3600,Municipal Owned,TX,4910,0,0,0,0,0,0,0,0,0,0,4910
294,DUNCAN RURAL SERVICE CORP,3605,Cooperative,AZ,879,0,0,0,0,0,0,728,96,40,14,1
295,"DUNLAP GAS SYSTEM, CITY OF",3610,Municipal Owned,TN,2910,0,0,0,0,579,259,491,901,489,176,15
296,"DUPO GAS SYSTEM, VILLAGE OF",3630,Municipal Owned,IL,1380,0,0,0,284,361,279,95,90,123,136,12
297,DYERSBURG MUNICIPAL GAS DEPARTMENT,3660,Municipal Owned,TN,8620,1355,0,0,650,700,868,868,1702,2174,297,6
298,E M W GAS ASSOCIATION,4005,Municipal Owned,NM,7864,0,0,0,0,0,1660,898,2722,1803,780,1
299,EAST CENTRAL OKLAHOMA GAS AUTH,4040,Municipal Owned,OK,552,0,0,0,0,469,0,57,0,0,23,3
300,DOMINION ENERGY OHIO,4060,Investor Owned,OH,1192783,572830,4550,5015,18429,23583,61863,109518,144669,125269,119223,7834
301,EASTERN NEW MEXICO NATURAL GAS ASSOCIATION,4120,Cooperative,NM,1207,0,0,0,0,692,378,90,0,0,0,47
302,EASTON UTILITIES COMMISSION,4190,Municipal Owned,MD,4341,1932,0,0,0,34,11,104,510,1350,340,60
303,"EATONTON, CITY OF",4200,Municipal Owned,GA,2524,2301,0,0,0,0,0,0,0,160,38,25
304,EDINBURG GAS SYSTEM,4240,Municipal Owned,IL,521,0,0,0,414,0,0,21,46,35,5,0
305,"EDISON GAS SYSTEM, CITY OF",4250,Municipal Owned,GA,333,0,0,0,0,0,0,1,164,167,1,0
306,EDMONTON GAS CO,4260,Municipal Owned,KY,1197,104,0,0,165,8,40,27,740,18,79,16
307,ELDORADO MUNICIPAL SYSTEM,4272,Municipal Owned,TX,579,579,0,0,0,0,0,0,0,0,0,0
308,ELBERTON NATURAL GAS SYSTEM,4310,Municipal Owned,GA,4793,2744,0,0,0,0,0,0,774,621,620,34
309,"ELIZABETH, TOWN OF",4341,Municipal Owned,LA,291,0,0,0,0,9,0,208,41,9,21,3
310,ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,230769,1951,35507,6104,21146,14568,11177,17390,23713,29640,58601,10972
311,ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,22,0,0,0,0,20,0,1,0,1,0,0
312,ELIZABETHTOWN GAS CO,4350,Investor Owned,PA,0,0,0,0,0,0,0,0,0,0,0,0
313,ELIZABETHTOWN NATURAL GAS,4360,Municipal Owned,KY,8883,0,0,0,1352,2516,1277,960,1552,897,309,20
314,ELK RIVER PUBLIC UTIL DIST,4370,Cooperative,TN,20678,3552,0,0,36,142,107,2315,6868,4195,3055,408
315,ELKTON GAS,4376,Privately Owned,DE,0,0,0,0,0,0,0,0,0,0,0,0
316,ELKTON GAS,4376,Investor Owned,MD,5388,534,0,0,0,761,329,230,1462,1387,675,10
317,"ELLENSBURG GAS DEPT, CITY OF",4400,Municipal Owned,WA,4885,0,0,0,1007,830,179,158,879,1286,489,57
318,EMMETSBURG MUNICIPAL UTILITIES,4440,Municipal Owned,IA,1691,0,0,0,59,561,297,70,583,74,44,3
319,"ENFIELD GAS DEPT, VILLAGE OF",4470,Municipal Owned,IL,360,0,0,0,0,0,273,10,44,15,17,1
320,ATMOS ENERGY CORPORATION - WEST TEXAS,4473,Investor Owned,TX,407354,0,1100,16253,60410,48029,49324,49187,54589,39714,79993,8755
321,"PENSACOLA, ENERGY SERVICES OF",4475,Municipal Owned,FL,52800,8652,0,0,0,0,0,0,0,12319,30728,1101
322,"ENGLEWOOD GAS DEPT, TOWN OF",4480,Municipal Owned,TN,289,0,0,0,0,119,0,0,168,0,0,2
323,ENSTAR NATURAL GAS CO,4483,Privately Owned,AK,132651,19,0,0,0,6950,21562,34564,22007,26136,19576,1837
324,CENTERPOINT ENERGY RESOURCES CORPORATION,4499,Investor Owned,LA,172118,58342,2970,11700,22760,14243,11012,10112,12750,13605,13356,1268
325,CENTERPOINT ENERGY RESOURCES CORPORATION,4499,Investor Owned,MS,163085,41245,567,7045,14910,14698,13382,8630,18220,24277,18667,1444
326,CENTERPOINT ENERGY RESOURCES CORPORATION,4499,Investor Owned,TX,1873818,68436,9124,23965,86985,88629,310267,162452,243797,497671,361394,21098
327,"ENUMCLAW GAS DEPT, CITY OF",4500,Municipal Owned,WA,4949,495,0,0,75,141,141,212,1967,782,908,228
328,"EQUALITY, VILLAGE OF",4507,Municipal Owned,IL,236,0,0,0,0,0,149,28,43,6,9,1
329,ESKRIDGE GAS SYSTEM,4540,Municipal Owned,KS,735,0,0,0,0,587,32,20,57,23,15,1
330,ETOWAH UTILITIES,4567,Municipal Owned,TN,2332,0,0,0,350,350,171,527,814,45,60,15
331,"EUNICE GAS DEPT, CITY OF",4590,Municipal Owned,LA,4347,4263,0,0,0,0,0,10,20,17,37,0
332,"EVANGELINE GAS CO, INC",4600,Investor Owned,LA,3696,3670,0,0,0,0,0,0,0,0,17,9
333,FAIRFAX PUBLIC WORKS AUTHORITY,5020,Municipal Owned,OK,981,0,0,0,0,0,981,0,0,0,0,0
334,FAIRFIELD MUNICIPAL GAS UTILITY,5030,Municipal Owned,IL,2753,10,0,0,1241,602,304,231,183,96,50,36
335,"FAIRHOPE GAS SYSTEM, CITY OF",5040,Municipal Owned,AL,15538,0,0,0,1812,1498,1110,864,3216,2553,4130,355
336,FALFURRIAS UTILITY BOARD,5055,Municipal Owned,TX,1570,0,0,13,24,1,1,1,906,182,442,0
337,FALLS CITY UTILITIES,5057,Municipal Owned,NE,2224,0,86,90,97,150,415,183,461,358,337,47
338,"FAYETTE GAS BOARD, CITY OF",5090,Municipal Owned,AL,2845,0,0,0,395,389,844,450,289,291,187,0
339,FAYETTEVILLE PUBLIC UTILITIES GAS DEPT.,5110,Municipal Owned,TN,7159,0,0,21,141,191,170,2317,2243,1196,819,61
340,FILLMORE GAS CO INC,5160,Privately Owned,NY,1327,799,0,0,0,0,0,137,209,53,120,9
341,"FINDLAY GAS UTILITIES, VILLAGE OF",5170,Municipal Owned,IL,590,0,0,0,0,403,8,31,106,24,17,1
342,FITCHBURG GAS & ELECTRIC LIGHT CO,5200,Investor Owned,MA,11184,0,330,87,1593,609,721,331,863,2784,3595,271
343,FITZGERALD WATER LIGHT & BOND COMMISSION,5210,Municipal Owned,GA,2439,2145,0,0,0,0,0,0,139,66,80,9
344,FLAT ROCK GAS DEPT,5220,Municipal Owned,IL,260,0,0,0,0,0,0,209,48,0,3,0
345,FLEMINGSBURG UTILITIES SYSTEM,5230,Municipal Owned,KY,1012,0,0,0,0,0,678,200,55,14,63,2
346,"FLORA MUNICIPAL GAS UTILITY, CITY OF",5280,Municipal Owned,IL,2489,0,0,0,252,175,0,1540,152,263,96,11
347,"FLORALA UTILITY BOARD, CITY OF",5290,Municipal Owned,AL,794,0,0,0,0,777,3,2,5,2,5,0
348,"FLORALA UTILITY BOARD, CITY OF",5290,Municipal Owned,FL,77,0,0,0,0,58,2,4,3,5,3,2
349,"FLORENCE GAS DEPT, CITY OF",5300,Municipal Owned,AL,17670,0,0,0,2478,1372,1481,2560,6322,2109,1233,115
350,FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,78493,1018,0,241,804,6014,4355,7664,9258,23461,21718,3960
351,FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,1810,0,0,0,0,0,126,23,27,1043,507,84
352,"FOLEY UTILITY BOARD, CITY OF (RIVIERA UTIL)",5340,Municipal Owned,AL,7523,0,0,0,1391,963,637,282,634,1586,1731,299
353,FORAKER GAS CO,5350,Privately Owned,OH,417,0,0,0,0,0,41,194,85,26,56,15
354,FORD CITY UTILITIES GAS DEPT,5360,Municipal Owned,KS,139,0,0,0,0,0,0,0,0,0,139,0
355,FOREST HILL GAS SYSTEM,5370,Municipal Owned,LA,572,0,0,0,200,98,75,22,106,42,29,0
356,"FORT GAINES GAS SYSTEM, CITY OF",5400,Municipal Owned,GA,262,0,0,0,0,245,4,3,4,5,1,0
357,FORT HILL NATURAL GAS AUTH,5410,Municipal Owned,SC,55735,0,0,0,3500,4200,2880,11000,15532,10252,7105,1266
358,"FORT MORGAN GAS DEPT, CITY OF",5440,Municipal Owned,CO,4271,0,0,0,1609,717,403,129,819,437,140,17
359,FORT PIERCE UTILITIES AUTH - GAS DEPT,5460,Municipal Owned,FL,4192,0,0,0,0,769,753,918,1298,51,356,47
360,"FORT STOCKTON MUNICIPAL SYSTEM, CITY OF",5470,Municipal Owned,TX,2832,30,0,0,101,431,300,1247,464,168,91,0
361,"FORT VALLEY GAS DEPARTMENT, CITY OF",5490,Municipal Owned,GA,3774,0,0,0,0,0,0,0,3571,69,101,33
362,FOUNTAIN INN NATURAL GAS SYSTEM,5510,Municipal Owned,SC,10551,0,0,0,229,580,51,575,3291,2165,3138,522
363,FOUNTAINTOWN GAS CO INC,5520,Privately Owned,IN,4170,0,0,0,0,327,730,1306,1045,455,275,32
364,"FRANKLIN GAS DEPT, CITY OF",5550,Municipal Owned,IL,313,208,0,0,0,0,0,0,90,9,4,2
365,FRANNIE - DEAVER UTILITIES,5580,Investor Owned,WY,285,0,0,0,0,0,21,49,52,61,101,1
366,FREEDOM MUNICIPAL TRUST AUTHORITY,5600,Municipal Owned,OK,153,40,0,0,20,0,7,0,0,0,86,0
367,FREMONT DEPT OF UTIL - GAS DIV,5613,Municipal Owned,NE,10084,0,0,0,0,206,3621,3660,1591,579,359,68
368,FRIENDSHIP GAS DEPT,5640,Municipal Owned,TN,304,242,0,0,0,0,0,0,0,62,0,0
369,"FULTON, CITY OF",5670,Municipal Owned,MO,3813,0,0,0,0,0,47,140,1984,1515,127,0
370,FULTON GAS SYSTEM,5680,Municipal Owned,KY,1136,1110,0,0,0,0,0,20,6,0,0,0
371,FULTON MUNICIPAL GAS SYSTEM,5690,Municipal Owned,MS,2326,0,0,0,225,340,118,311,620,417,281,14
372,FULTONDALE GAS BOARD,5700,Municipal Owned,AL,9070,0,0,0,0,0,0,0,0,0,8017,1053
373,GAINESVILLE REGIONAL UTIL GAS DEPT,6030,Municipal Owned,FL,37621,12225,0,0,0,1149,1787,4161,5263,7295,5741,0
374,"GALLAWAY GAS DEPT, CITY OF",6035,Municipal Owned,TN,223,0,0,0,0,0,0,0,213,9,1,0
375,GALLATIN NATURAL GAS SYSTEM,6040,Municipal Owned,TN,16586,0,0,0,1232,868,440,1381,3948,3999,4128,590
376,"GARDEN PLAIN GAS SYSTEM, CITY OF",6080,Municipal Owned,KS,385,0,0,0,142,50,42,37,18,36,59,1
377,"GARNETT MUNICIPAL SYSTEM, CITY OF",6100,Municipal Owned,KS,1786,0,10,106,146,138,355,290,284,254,174,29
378,"GARRISON, CITY OF",6101,Municipal Owned,TX,366,0,0,0,0,0,0,307,25,22,12,0
379,"GARY, CITY OF",6110,Municipal Owned,TX,1384,0,0,0,0,707,0,0,198,60,411,8
380,NEW MEXICO GAS COMPANY,6141,Investor Owned,NM,544361,174905,706,6552,32954,24498,36669,45294,60860,106844,50112,4967
381,"EAST BATON ROUGE PARISH, GAS UTIL DIST # 1 OF",6219,Municipal Owned,LA,4464,0,0,0,0,1018,1255,449,250,529,933,30
382,"EAST FELICIANA PARISH, GAS UTIL DIST # 1 OF",6225,Municipal Owned,LA,735,0,0,0,0,734,0,0,0,0,0,1
383,"EAST FELICIANA PARISH, GAS UTIL DIST # 2 OF",6226,Municipal Owned,LA,1164,0,0,0,0,747,80,80,80,80,80,17
384,"POINTE COUPEE PARISH, GAS UTIL DIST # 1 OF",6232,Municipal Owned,LA,2133,0,0,400,0,419,723,210,100,177,68,36
385,"LIVINGSTON PARISH - A, GAS UTIL DIST # 1 OF",6233,Municipal Owned,LA,1089,0,0,0,0,852,0,0,0,84,122,31
386,"VERNON PARISH, GAS UTIL DIST # 1 OF",6235,Municipal Owned,LA,420,0,0,0,0,420,0,0,0,0,0,0
387,"POINTE COUPEE PARISH, GAS UTIL DIST # 2 OF",6239,Municipal Owned,LA,2289,470,0,0,0,784,0,785,0,189,45,16
388,"WASHINGTON PARISH, GAS UTIL DIST # 2 OF",6240,Municipal Owned,LA,946,0,0,0,0,500,434,0,0,0,7,5
389,"WEST FELICIANA PARISH, GAS UTIL DIST # 1 OF",6241,Municipal Owned,LA,711,0,0,0,0,0,293,227,30,52,81,28
390,HAWAII GAS,6243,Investor Owned,HI,8165,223,473,134,297,849,1567,1006,1658,572,1341,45
391,HAWAII GAS,6243,Investor Owned,HI,26178,0,2946,832,1849,3220,3425,5502,3468,1744,3070,122
392,GEARY UTILITIES AUTH,6270,Municipal Owned,OK,694,0,0,0,0,53,340,18,3,3,277,0
393,"GEFF MUNICIPAL GAS UTILITY, VILLAGE OF",6280,Municipal Owned,IL,246,0,0,0,0,184,5,21,19,10,7,0
394,GENEVA COUNTY GAS DIST,6320,Municipal Owned,AL,2204,0,0,0,0,599,509,932,50,40,42,32
395,"GEORGE WEST, CITY OF",6330,Municipal Owned,TX,471,471,0,0,0,0,0,0,0,0,0,0
396,GIBSON COUNTY UTIL DIST,6370,Municipal Owned,TN,12358,0,0,0,1741,2387,1675,1866,2804,1217,607,61
397,GILMORE CITY MUNICIPAL GAS SYSTEM INC,6390,Municipal Owned,IA,354,0,0,0,0,265,30,22,19,8,8,2
398,GLOSTER MUNICIPAL GAS SYSTEM,6410,Municipal Owned,MS,544,0,520,0,0,0,0,0,0,0,24,0
399,"GOLDSMITH GAS DEPT, CITY OF",6430,Municipal Owned,TX,181,0,0,0,0,0,181,0,0,0,0,0
400,"GONZALES GAS CO, TOWN OF",6440,Municipal Owned,LA,2827,2069,0,0,0,0,0,0,0,337,396,25
401,"GORDO WATER GAS & SEWER BOARD, TOWN OF",6460,Municipal Owned,AL,620,0,0,0,228,159,50,42,25,50,57,9
402,GRAETTINGER MUNICIPAL GAS SYSTEM,6470,Municipal Owned,IA,434,0,0,0,0,304,10,60,26,25,9,0
403,GRAHAM COUNTY UTIL INC,6484,Cooperative,AZ,6392,4255,0,0,0,0,0,0,990,692,403,52
404,"GRANBY GAS, CITY OF",6490,Municipal Owned,MO,972,0,0,0,0,51,0,0,906,10,5,0
405,GRAND COUTEAU MUNICIPAL SYSTEM,6500,Municipal Owned,LA,425,341,0,0,0,0,0,78,0,0,5,1
406,"GRAND ISLE, TOWN OF",6510,Municipal Owned,LA,1389,0,0,0,0,0,1002,0,310,22,54,1
407,GRANDFALLS UTILITY SYSTEM,6540,Municipal Owned,TX,77,77,0,0,0,0,0,0,0,0,0,0
408,"GRAND TOWER MUNICIPAL GAS SYSTEM, VILLAGE OF",6550,Municipal Owned,IL,323,0,0,0,0,291,5,10,7,8,2,0
409,GRANDVIEW MUNICIPAL GAS,6560,Municipal Owned,IN,224,0,0,0,0,128,29,12,27,18,10,0
410,"GRANITE, TOWN OF",6570,Municipal Owned,OK,576,0,0,0,0,0,539,34,0,0,3,0
411,GRANT CITY GAS CO,6590,Municipal Owned,MO,382,0,0,0,0,211,84,44,26,5,12,0
412,"GRANTVILLE GAS SYSTEM, CITY OF",6600,Municipal Owned,GA,762,0,0,0,0,0,2,0,0,759,0,1
413,"GRAYSON UTILITIES COMMISSION, CITY OF",6620,Municipal Owned,KY,1248,0,0,0,150,25,20,12,941,21,79,0
414,GRAYSVILLE MUNICIPAL GAS SYSTEM,6630,Municipal Owned,AL,7500,0,0,0,1629,1608,1525,862,66,236,1505,69
415,"GRAYVILLE GAS DEPT, CITY OF",6640,Municipal Owned,IL,948,0,0,0,62,613,174,12,23,23,37,4
416,GREAT PLAINS NATURAL GAS CO,6690,Investor Owned,MN,23100,2563,0,6,98,1602,3123,3318,3381,2155,6166,688
417,GREAT PLAINS NATURAL GAS CO,6690,Investor Owned,ND,2485,459,0,1,0,183,453,281,449,189,440,30
418,GREATER DICKSON GAS AUTHORITY,6716,Municipal Owned,TN,19088,1768,0,0,1303,448,546,1633,7146,3258,2713,273
419,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,6720,Investor Owned,CO,107951,0,3890,8857,5913,6876,11356,11195,25907,11343,17560,5054
420,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,6720,Investor Owned,KS,154684,7456,29,52,123,198,378,1356,101680,15647,24296,3469
421,GREEN CITY MUNICIPAL NATURAL GAS SYSTEM,6740,Municipal Owned,MO,259,0,0,0,0,146,37,40,3,11,18,4
422,"GREENSBORO MUNICIPAL GAS SYSTEM, CITY OF",6760,Municipal Owned,GA,1079,0,0,0,0,148,326,334,216,22,33,0
423,"GREENSBURG GAS & WATER, TOWN OF",6770,Municipal Owned,LA,279,0,0,0,238,0,10,10,10,11,0,0
424,"GREENUP, VILLAGE OF",6780,Municipal Owned,IL,871,0,0,0,0,639,51,50,109,3,14,5
425,GREENVILLE UTILITIES COMMISSION,6790,Municipal Owned,NC,25626,470,0,0,0,52,661,3206,9082,8566,3213,376
426,GREENWOOD COMMISSION OF PUBLIC WORKS,6810,Municipal Owned,SC,24902,19255,0,0,0,0,0,0,3283,1000,1192,172
427,GREER COMMISSION OF PUBLIC WORKS,6820,Municipal Owned,SC,26963,0,0,0,1439,1019,571,1550,8291,7563,5390,1140
428,GREY FOREST UTILITIES,6830,Municipal Owned,TX,17014,0,0,0,0,0,1638,2195,3023,4254,5361,543
429,"GUEYDAN MUNICIPAL PLANT, TOWN OF",6840,Municipal Owned,LA,709,4,0,0,0,0,0,0,0,705,0,0
430,"GULF BREEZE, CITY OF",6850,Municipal Owned,FL,4715,0,0,0,0,637,638,177,1156,880,1033,194
431,"GRUVER, CITY OF",6864,Municipal Owned,TX,583,583,0,0,0,0,0,0,0,0,0,0
432,"ENTERGY LOUISIANA, LLC",6920,Investor Owned,LA,104895,4449,1959,8052,13315,14101,19252,9140,9957,9817,13109,1744
433,GUTHRIE CENTER MUNICIPAL UTILITIES,6950,Municipal Owned,IA,882,0,0,0,724,30,25,24,10,25,37,7
434,GUYMON MUNICIPAL GAS CO,6960,Municipal Owned,OK,4251,3323,0,0,0,0,0,265,244,203,214,2
435,"HALLOCK GAS DEPT, VILLAGE OF",7020,Municipal Owned,MN,532,0,0,0,0,328,15,22,90,28,44,5
436,"HALLS GAS DEPT, TOWN OF",7025,Municipal Owned,TN,1507,0,0,0,359,416,300,71,199,48,111,3
437,"HALSTEAD GAS DEPT, CITY OF",7030,Municipal Owned,KS,822,701,0,0,0,0,14,1,31,45,27,3
438,"HAMILTON GAS DEPT, CITY OF",7040,Municipal Owned,OH,23530,604,0,2828,0,0,0,4884,13686,1007,419,102
